node,property,value
aida-item:PER.ProfessionalPosition,aida-property:hasName,"en:""aida-item:PER.ProfessionalPosition"""
aida-property:GeneralAffiliation.Sponsorship_Sponsor,aida-property:hasName,"en:""aida-property:GeneralAffiliation.Sponsorship_Sponsor"""
aida-entity:4fba8ada-3361-459c-a37f-a0ccc4624ac5,aida-property:linkTarget,LDC2019E43:2017370
aida-item:SID.Religious.Religious,aida-property:hasName,"en:""aida-item:SID.Religious.Religious"""
aida-entity:e45a2f47-4a27-4bfe-8a09-221d2216cd7f,aida-property:linkTarget,LDC2019E43:709716
aida-item:ORG.PoliticalOrganization.Court,aida-property:hasName,"en:""aida-item:ORG.PoliticalOrganization.Court"""
aida-property:OrganizationAffiliation.Leadership.Government_GovernmentBodyOrGPE,aida-property:hasName,"en:""aida-property:OrganizationAffiliation.Leadership.Government_GovernmentBodyOrGPE"""
aida-entity:e8d98762-d520-49ed-8de4-5b208d2e3fc9,aida-property:linkTarget,LDC2019E43:8053946
aida-property:Evaluate.Deliberateness.Accidental_Event,aida-property:hasName,"en:""aida-property:Evaluate.Deliberateness.Accidental_Event"""
aida-item:CRM.PoliticalCrime.AbuseOfOffice,aida-property:hasName,"en:""aida-item:CRM.PoliticalCrime.AbuseOfOffice"""
aida-property:OrganizationAffiliation.Leadership_Organization,aida-property:hasName,"en:""aida-property:OrganizationAffiliation.Leadership_Organization"""
aida-item:PER.ProfessionalPosition.Spy,aida-property:hasName,"en:""aida-item:PER.ProfessionalPosition.Spy"""
aida-item:VEH.Aircraft.Airplane,aida-property:hasName,"en:""aida-item:VEH.Aircraft.Airplane"""
aida-property:OrganizationAffiliation.Leadership_Leader,aida-property:hasName,"en:""aida-property:OrganizationAffiliation.Leadership_Leader"""
aida-item:Contact.CommitmentPromiseExpressIntent.Correspondence,aida-property:hasName,"en:""aida-item:Contact.CommitmentPromiseExpressIntent.Correspondence"""
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller,aida-property:hasName,"en:""aida-property:GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller"""
aida-entity:ba5bd100-3c53-45bb-8c1e-81d7827e948d,aida-property:linkTarget,LDC2019E43:732793
aida-item:Justice.Investigate,aida-property:hasName,"en:""aida-item:Justice.Investigate"""
