identifier,name,type,data_type
aida-item:PER.ProfessionalPosition,"en:""aida-item:PER.ProfessionalPosition""",Item,
aida-item:VEH.Aircraft,"en:""aida-item:VEH.Aircraft""",Item,
aida-item:PER.Protester.ProtestLeader,"en:""aida-item:PER.Protester.ProtestLeader""",Item,
aida-item:CRM.ViolentCrime.Terrorism,"en:""aida-item:CRM.ViolentCrime.Terrorism""",Item,
aida-item:Conflict.Yield,"en:""aida-item:Conflict.Yield""",Item,
aida-item:COM.Document,"en:""aida-item:COM.Document""",Item,
aida-item:PER.ProfessionalPosition.Scientist,"en:""aida-item:PER.ProfessionalPosition.Scientist""",Item,
aida-item:PersonalSocial.Unspecified,"en:""aida-item:PersonalSocial.Unspecified""",Item,
aida-item:PER.Politician,"en:""aida-item:PER.Politician""",Item,
aida-item:Contact.ThreatenCoerce,"en:""aida-item:Contact.ThreatenCoerce""",Item,
aida-property:GeneralAffiliation.Sponsorship_Sponsor,"en:""aida-property:GeneralAffiliation.Sponsorship_Sponsor""",Property,aida-property-type:Item
aida-item:WEA.Cannon.Cannon,"en:""aida-item:WEA.Cannon.Cannon""",Item,
aida-item:SID.Religious.Religious,"en:""aida-item:SID.Religious.Religious""",Item,
aida-item:WEA.MissileSystem.Missile,"en:""aida-item:WEA.MissileSystem.Missile""",Item,
aida-item:Contact.CommitmentPromiseExpressIntent,"en:""aida-item:Contact.CommitmentPromiseExpressIntent""",Item,
aida-item:Transaction.TransferOwnership,"en:""aida-item:Transaction.TransferOwnership""",Item,
aida-item:ORG.CommercialOrganization,"en:""aida-item:ORG.CommercialOrganization""",Item,
aida-item:SID.Sports.Sports,"en:""aida-item:SID.Sports.Sports""",Item,
aida-item:ORG.PoliticalOrganization.Court,"en:""aida-item:ORG.PoliticalOrganization.Court""",Item,
aida-item:Inspection.SensoryObserve.InspectPeopleOrganization,"en:""aida-item:Inspection.SensoryObserve.InspectPeopleOrganization""",Item,
aida-item:Contact.Discussion.Meet,"en:""aida-item:Contact.Discussion.Meet""",Item,
aida-property:OrganizationAffiliation.Leadership.Government_GovernmentBodyOrGPE,"en:""aida-property:OrganizationAffiliation.Leadership.Government_GovernmentBodyOrGPE""",Property,aida-property-type:Item
aida-item:FAC.Installation.MilitaryInstallation,"en:""aida-item:FAC.Installation.MilitaryInstallation""",Item,
aida-item:ORG.Association.Club,"en:""aida-item:ORG.Association.Club""",Item,
aida-item:PER.Police.ChiefOfPolice,"en:""aida-item:PER.Police.ChiefOfPolice""",Item,
aida-item:VEH.MilitaryVehicle.MilitaryTransportAircraft,"en:""aida-item:VEH.MilitaryVehicle.MilitaryTransportAircraft""",Item,
aida-property-type:dataType,"en:""aida-property-type:dataType""",Property,aida-property-type:Item
aida-item:Measurement.Size.HeightLengthWidth,"en:""aida-item:Measurement.Size.HeightLengthWidth""",Item,
aida-item:Personnel.EndPosition.QuitRetire,"en:""aida-item:Personnel.EndPosition.QuitRetire""",Item,
aida-item:Personnel.EndPosition,"en:""aida-item:Personnel.EndPosition""",Item,
