node1	label	node2	id
Q5	P1056	Q3619132	Q5-P1056-Q3619132-0db1a245-0
Q5	P1343	Q19180675	Q5-P1343-Q19180675-ffcb1070-0
Q5	P1343	Q302556	Q5-P1343-Q302556-2906e8d9-0
Q5	P1343	Q4086271	Q5-P1343-Q4086271-d1995e89-0
Q5	P1343	Q4173137	Q5-P1343-Q4173137-52594afa-0
Q1000048	P31	Q5	Q1000048-P31-Q5-f02d7495-0
Q1001	P31	Q5	Q1001-P31-Q5-7267f250-0
Q100148353	P31	Q5	Q100148353-P31-Q5-09e515e5-0
Q100153947	P31	Q5	Q100153947-P31-Q5-d902cf76-0
Q100153956	P31	Q5	Q100153956-P31-Q5-5eaa68f6-0
Q100252	P31	Q5	Q100252-P31-Q5-0ac8ef53-0
Q100494914	P31	Q5	Q100494914-P31-Q5-73cf7d3e-0
Q100533268	P31	Q5	Q100533268-P31-Q5-a2acf259-0
Q100558585	P279	Q5	Q100558585-P279-Q5-6f0ab653-0
Q100697582	P31	Q5	Q100697582-P31-Q5-34b6cc1d-0
Q100741820	P31	Q5	Q100741820-P31-Q5-1b14161f-0
Q100741824	P31	Q5	Q100741824-P31-Q5-2d5be55e-0
Q100749	P31	Q5	Q100749-P31-Q5-929a71c0-0
Q100753758	P31	Q5	Q100753758-P31-Q5-edadabfb-0
Q100915302	P31	Q5	Q100915302-P31-Q5-78da0ed0-0
Q100937	P31	Q5	Q100937-P31-Q5-0506e8b6-0
Q100948	P31	Q5	Q100948-P31-Q5-c1e8a616-0
Q1010297	P31	Q5	Q1010297-P31-Q5-c2faa644-0
Q101268	P31	Q5	Q101268-P31-Q5-8799eb44-0
Q101410	P31	Q5	Q101410-P31-Q5-41792799-0
