node1	label	node2
gaia:entities/e34874a6-a857-4f14-8aee-9947d3e9caaf	rdf:type	ont:Entity
gaia:entities/e34874a6-a857-4f14-8aee-9947d3e9caaf	ont:informativeJustification	XoBugQcoEt6xNnqGsHDXfTA:b0
gaia:entities/e34874a6-a857-4f14-8aee-9947d3e9caaf	ont:justifiedBy	XoBugQcoEt6xNnqGsHDXfTA:b1
gaia:entities/e34874a6-a857-4f14-8aee-9947d3e9caaf	ont:privateData	XoBugQcoEt6xNnqGsHDXfTA:g0
XoBugQcoEt6xNnqGsHDXfTA:g0	rdf:type	ont:PrivateData
XoBugQcoEt6xNnqGsHDXfTA:g0	ont:jsonContent	"{\"fileType\":\"en\"}"
XoBugQcoEt6xNnqGsHDXfTA:g0	ont:system	rpi:fileType
gaia:entities/e34874a6-a857-4f14-8aee-9947d3e9caaf	ont:system	noBugQcoEt6xNnqGsHDXfTA-1:
gaia:entities/e34874a6-a857-4f14-8aee-9947d3e9caaf	ont:textValue	"32"
XoBugQcoEt6xNnqGsHDXfTA:g1	rdf:type	ont:ClusterMembership
XoBugQcoEt6xNnqGsHDXfTA:g1	ont:cluster	gaia:events/03a41b2b-e0ef-42f9-a192-433e0abc3a70-cluster-projectedFromSingleton
XoBugQcoEt6xNnqGsHDXfTA:g1	ont:clusterMember	gaia:events/03a41b2b-e0ef-42f9-a192-433e0abc3a70
XoBugQcoEt6xNnqGsHDXfTA:g1	ont:confidence	XoBugQcoEt6xNnqGsHDXfTA:g2
XoBugQcoEt6xNnqGsHDXfTA:g2	rdf:type	ont:Confidence
XoBugQcoEt6xNnqGsHDXfTA:g2	ont:confidenceValue	1.0
XoBugQcoEt6xNnqGsHDXfTA:g2	ont:confidenceValue	2.0
XoBugQcoEt6xNnqGsHDXfTA:g2	ont:system	noBugQcoEt6xNnqGsHDXfTA-2:
XoBugQcoEt6xNnqGsHDXfTA:g1	ont:system	noBugQcoEt6xNnqGsHDXfTA-2:
XoBugQcoEt6xNnqGsHDXfTA:g3	rdf:type	rdf:Statement
XoBugQcoEt6xNnqGsHDXfTA:g3	rdf:object	gaia:entities/d1dcefce-badf-4948-bfcf-5d33116fa12c
XoBugQcoEt6xNnqGsHDXfTA:g3	rdf:predicate	noBugQcoEt6xNnqGsHDXfTA-3:Physical.LocatedNear_Place
XoBugQcoEt6xNnqGsHDXfTA:g3	rdf:subject	gaia:relations/d3e1e4df-6c8c-4fd1-8b93-ee49ef238f72
XoBugQcoEt6xNnqGsHDXfTA:g3	ont:confidence	XoBugQcoEt6xNnqGsHDXfTA:g4
XoBugQcoEt6xNnqGsHDXfTA:g4	rdf:type	ont:Confidence
XoBugQcoEt6xNnqGsHDXfTA:g4	ont:confidenceValue	9.9e-01
XoBugQcoEt6xNnqGsHDXfTA:g4	ont:system	noBugQcoEt6xNnqGsHDXfTA-1:
XoBugQcoEt6xNnqGsHDXfTA:g3	ont:justifiedBy	XoBugQcoEt6xNnqGsHDXfTA:g5
XoBugQcoEt6xNnqGsHDXfTA:g5	rdf:type	ont:CompoundJustification
XoBugQcoEt6xNnqGsHDXfTA:g5	ont:confidence	XoBugQcoEt6xNnqGsHDXfTA:g6
XoBugQcoEt6xNnqGsHDXfTA:g6	rdf:type	ont:Confidence
XoBugQcoEt6xNnqGsHDXfTA:g6	ont:confidenceValue	0.99
XoBugQcoEt6xNnqGsHDXfTA:g6	ont:system	noBugQcoEt6xNnqGsHDXfTA-4:compoundJustificationWrapper
XoBugQcoEt6xNnqGsHDXfTA:g5	ont:containedJustification	XoBugQcoEt6xNnqGsHDXfTA:g7
